log_timestamp,date_read,log_value,library
6/2/2016 0:25,5/27/2016,3,Squirrel Hill
6/2/2016 0:26,5/28/2016,1,Squirrel Hill
6/2/2016 0:26,5/28/2016,3,Squirrel Hill
6/2/2016 0:26,5/29/2016,3,Squirrel Hill
6/2/2016 0:26,6/1/2016,3,Squirrel Hill
6/2/2016 0:27,5/1/2016,1,Downtown & Business
6/2/2016 0:28,5/8/2016,1,Downtown & Business
6/2/2016 0:29,5/14/2016,1,Downtown & Business
6/2/2016 0:30,5/19/2016,1,Downtown & Business
6/2/2016 0:32,5/24/2016,1,Downtown & Business
6/2/2016 0:45,5/31/2016,1,Squirrel Hill
6/2/2016 0:46,6/1/2016,1,Squirrel Hill
6/2/2016 0:56,6/1/2016,1,East Liberty
6/2/2016 0:58,6/1/2016,1,East Liberty
6/2/2016 0:59,6/1/2016,1,East Liberty
6/2/2016 0:59,6/1/2016,1,Squirrel Hill
6/2/2016 1:01,5/31/2016,1,East Liberty
6/2/2016 1:03,5/31/2016,1,East Liberty
6/2/2016 1:25,6/1/2016,1,East Liberty
6/2/2016 2:07,6/1/2016,1,Main (Oakland)
6/2/2016 2:08,5/28/2016,1,Main (Oakland)
6/2/2016 2:20,6/1/2016,1,Allegheny
6/2/2016 2:24,5/27/2016,1,South Side
6/2/2016 2:24,5/27/2016,1,South Side
6/2/2016 2:26,5/25/2016,1,South Side
6/2/2016 2:27,5/25/2016,1,South Side
6/2/2016 12:52,6/2/2016,1,Lawrenceville
6/2/2016 13:09,6/1/2016,1,Main (Oakland)
6/2/2016 13:09,6/1/2016,1,Main (Oakland)
6/2/2016 13:10,6/1/2016,1,Main (Oakland)
6/2/2016 13:13,6/2/2016,1,Main (Oakland)
6/2/2016 13:14,6/1/2016,1,Main (Oakland)
6/2/2016 13:14,6/1/2016,1,Main (Oakland)
6/2/2016 13:27,6/2/2016,1,East Liberty
6/2/2016 14:10,6/2/2016,1,Main (Oakland)
6/2/2016 15:02,5/2/2016,1,Downtown & Business
6/2/2016 15:49,6/2/2016,1,Main (Oakland)
6/2/2016 16:40,6/2/2016,1,Squirrel Hill
6/2/2016 16:43,6/1/2016,1,Carrick
6/2/2016 17:03,5/27/2016,1,Homewood
